state,dem_win,rep_win
Arizona,0.41265,0.58735
Florida,0.0,1.0
Georgia,0.0,1.0
Michigan,0.9572,0.0428
Nevada,0.505,0.495
North Carolina,0.4138,0.5862
Pennsylvania,0.7284,0.2716
Wisconsin,1.0,0.0
