state,dem_win,rep_win
Arizona,0.73386,0.26614
Florida,0.0,1.0
Georgia,0.0,1.0
Michigan,0.87471,0.12529
Nevada,0.02222,0.97778
North Carolina,0.4969,0.5031
Pennsylvania,0.8444,0.1556
Wisconsin,1.0,0.0
